county,state,evangelicals,mainline protestant,catholic,orthodox,muslim,other
Cheatham ,TN,10441,1917,500,0,0,7
Cheboygan ,MI,2223,2059,3714,0,0,336
Chelan ,WA,13576,4729,13500,0,0,2974
Chemung ,NY,5604,8842,14593,230,1662,2399
Chenango ,NY,1563,6744,5528,0,0,471
Cherokee ,AL,10865,1590,0,0,0,0
Cherokee ,GA,60308,17177,9617,60,0,1861
Cherokee ,IA,2163,3517,2059,0,0,191
Cherokee ,KS,5739,2463,3700,0,0,135
Cherokee ,NC,9146,2085,1054,20,0,329
Cherokee ,OK,11733,2717,800,0,0,842
Cherokee ,SC,27748,2830,1100,0,0,644
Cherokee ,TX,16878,2742,8917,18,0,6
Cherry ,NE,1014,761,800,0,0,129
Chesapeake city,VA,43920,15389,13212,142,3436,6508
Cheshire ,NH,3881,4015,9237,250,0,1292
Chester ,PA,31520,60921,212113,675,913,6090
Chester ,SC,9955,2537,174,0,0,249
Chester ,TN,6837,869,0,0,0,176
Chesterfield ,SC,13846,5246,152,0,0,686
Chesterfield ,VA,52345,34074,22861,103,7436,13169
Cheyenne ,CO,508,172,280,0,0,0
Cheyenne ,KS,230,1075,186,0,0,0
Cheyenne ,NE,1481,2571,1500,0,0,400
Chickasaw ,IA,1028,4264,4297,0,0,1
Chickasaw ,MS,12701,1550,409,0,0,1
Chicot ,AR,4240,498,525,0,0,20
Childress ,TX,1809,743,210,0,0,1
Chilton ,AL,26608,1805,709,0,0,250
Chippewa ,MI,3026,2317,6665,100,0,343
Chippewa ,MN,1367,7783,1531,0,0,7
Chippewa ,WI,6296,7989,14850,25,0,201
Chisago ,MN,7028,9771,6089,55,0,472
Chittenden ,VT,8638,9427,39143,100,300,3891
Choctaw ,AL,6080,789,60,0,0,157
Choctaw ,MS,3919,675,40,0,0,0
Choctaw ,OK,15020,902,100,0,0,250
Chouteau ,MT,530,844,3435,0,0,168
Chowan ,NC,3993,1585,549,12,0,239
Christian ,IL,6004,4592,5473,0,0,168
Christian ,KY,27647,5863,3233,0,0,652
Christian ,MO,38609,3665,2709,0,0,9
Churchill ,NV,2985,568,2460,0,0,2803
Cibola ,NM,2749,285,9000,0,0,1279
Cimarron ,OK,1343,779,98,0,0,0
Citrus ,FL,20465,6569,13612,246,0,1883
Clackamas ,OR,49829,15118,27128,2275,0,15447
Claiborne ,MS,735,1292,78,0,0,1
Claiborne ,TN,18142,860,110,0,0,452
Claiborne Parish,LA,4292,1146,86,0,0,2
Clallam ,WA,9803,3035,4581,0,0,3487
Clare ,MI,5323,1067,4998,0,0,573
Clarendon ,SC,6420,3144,360,0,0,247
Clarion ,PA,5121,8048,9079,0,0,166
Clark ,AR,12259,1735,80,0,0,258
Clark ,ID,0,66,0,0,0,287
Clark ,IL,7127,2368,777,0,0,82
Clark ,IN,18804,7663,10150,0,0,340
Clark ,KS,656,459,250,0,0,0
Clark ,KY,12912,3657,730,0,0,519
Clark ,MO,1570,1565,240,0,0,0
Clark ,NV,150709,27072,354110,8191,1084,149167
Clark ,OH,18482,12863,9130,225,348,1508
Clark ,SD,276,1945,439,0,0,0
Clark ,WA,58413,12633,26886,61,308,22590
Clark ,WI,6594,3981,9535,0,0,7
Clarke ,AL,13634,1632,11,0,0,95
Clarke ,GA,14824,13405,8475,0,762,3266
Clarke ,IA,1493,1911,546,0,0,565
Clarke ,MS,9847,2219,0,0,0,0
Clarke ,VA,1761,2949,449,0,0,435
Clatsop ,OR,3075,1942,3595,0,0,1590
Clay ,AL,8899,1038,186,0,0,1
Clay ,AR,6355,774,30,0,0,0
Clay ,FL,47779,7693,22260,0,1397,4622
Clay ,GA,827,196,0,0,0,4
Clay ,IL,7102,1447,2270,0,0,166
Clay ,IN,7236,3684,356,0,0,4
Clay ,IA,3079,5976,2485,0,0,330
Clay ,KS,1817,2650,561,0,0,1
Clay ,KY,8920,516,69,0,0,0
Clay ,MN,8055,17959,9900,0,0,24
Clay ,MS,8292,2161,215,0,0,474
Clay ,MO,55953,20193,23511,44,924,5454
Clay ,NE,1014,2183,864,0,0,0
Clay ,NC,8126,1194,613,0,0,0
Clay ,SD,782,2887,3515,0,0,250
Clay ,TN,3246,164,40,0,0,0
Clay ,TX,5401,724,180,0,0,2
Clay ,WV,701,1190,66,0,0,2
Clayton ,GA,76232,6695,10533,0,1000,13503
Clayton ,IA,1174,6656,4351,0,0,250
Clear Creek ,CO,113,353,708,0,0,237
Clearfield ,PA,7513,15065,19331,519,0,52
Clearwater ,ID,1411,470,382,0,0,564
Clearwater ,MN,1736,2151,360,0,0,216
Cleburne ,AL,10435,844,0,0,0,1
Cleburne ,AR,9580,2408,405,0,0,595
Clermont ,OH,29343,10040,31460,239,100,275
Cleveland ,AR,3392,546,0,0,0,0
Cleveland ,NC,43997,9411,991,0,0,960
Cleveland ,OK,76501,19700,9479,87,308,4428
Clifton Forge,VA,0,0,0,0,0,0
Clinch ,GA,2183,308,0,0,0,0
Clinton ,IL,3773,2366,20300,0,0,7
Clinton ,IN,5361,4008,5135,0,0,141
Clinton ,IA,5187,10135,9340,0,308,1061
Clinton ,KY,3590,1377,65,0,0,0
Clinton ,MI,5291,4524,13819,0,0,432
Clinton ,MO,4625,3455,1314,0,0,1151
Clinton ,NY,2417,3038,27695,0,1522,2266
Clinton ,OH,7644,4243,2179,0,0,351
Clinton ,PA,4252,5609,2620,0,0,233
Cloud ,KS,1020,2184,1894,0,0,205
Coahoma ,MS,6629,2375,935,0,0,35
