county,state,AGE_OTO4,AGE_5TO14,AGE_15TO24,AGE_25TO34,AGE_35TO44,AGE_45TO54,AGE_55TO64,AGE_65TO74,AGE_75TO84,AGE_84PLUS
Elk ,PA,1522,3246,3250,2959,3042,4427,5083,3557,2137,946
Elkhart ,IN,15441,31714,27697,26269,24850,25100,24207,17267,8974,4041
Elko ,NV,3861,8079,6803,7922,6790,6554,6508,3712,1622,609
Elliott ,KY,344,774,825,1038,1014,1067,963,867,457,159
Ellis ,KS,1708,3509,5891,3855,3146,2818,3367,2433,1291,692
Ellis ,OK,227,516,435,384,490,428,586,508,270,108
Ellis ,TX,12202,27162,24427,23279,23663,23710,22012,14299,6477,2205
Ellsworth ,KS,285,645,731,830,775,739,894,702,395,200
Elmore ,AL,4713,10186,10149,11567,10831,11272,10769,7545,3691,1164
Elmore ,ID,2287,3683,4245,4653,2988,2624,3105,2201,1128,345
Emanuel ,GA,1496,3222,2940,3042,2759,2635,2875,2174,1099,370
Emery ,UT,602,1765,1295,1021,1291,1004,1308,1007,540,181
Emmet ,IA,507,1014,1176,1045,1080,1010,1442,1043,602,334
Emmet ,MI,1587,3568,3794,3782,3610,4094,5368,4454,2147,904
Emmons ,ND,171,357,373,264,283,375,553,446,305,168
Emporia city,VA,152,701,625,676,570,648,713,492,337,207
Erath ,TX,2415,4809,10484,5409,4349,4263,4702,3503,1753,759
Erie ,NY,50045,102527,118182,131797,102784,116668,132664,92079,48823,24150
