county,state,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010
Claiborne,MS,11.12594571,0,19.7
Clallam,WA,1.293142466,0,41.1
Clare,MI,3.231017771,0,54.8
Clarendon,SC,2.963401985,0,57.6
Clarion,PA,2.601592174,0,66.6
Clark,NV,0.044116706,0,247.3
Clark,WA,0.204816883,0,676.2
Clark,KY,2.757631746,0,141.1
Clark,IN,0.845294247,0,295.6
Clark,OH,0.745806702,0,348
Clark,AR,4.480286738,0,26.6
Clark,WI,2.875711739,0,28.7
Clark,SD,26.76659529,0,3.9
Clark,IL,6.476264491,0,32.6
Clark,MO,14.71237311,0,14.1
Clark,KS,50.15045135,0,2.3
Clarke,GA,1.558469894,0,979.1
Clarke,MS,6.434592369,0,24.2
Clarke,VA,6.840413161,0,79.7
Clarke,AL,8.4666836,0,20.9
Clarke,IA,10.64395955,0,21.5
Clatsop,OR,2.486077963,0,44.7
Clay,FL,0.456096182,0,315.8
Clay,MN,1.557098813,0,56.4
Clay,MS,5.177055291,0,50.3
Clay,MO,1.200249652,0,558.6
Clay,AL,7.555723461,0,23.1
Clay,KS,12.49687578,0,13.2
Clay,IN,3.813155386,0,75.2
Clay,SD,14.21464108,0,33.6
Clay,GA,35.2858151,0,16.3
Clay,IA,6.243756244,0,29.4
Clay,NC,8.903926632,0,49.3
Clay,TN,13.13197636,0,33.2
Clay,TX,9.550186229,0,9.9
Clay,AR,6.872379905,0,25.2
Clay,NE,16.12123166,0,11.4
Clay,IL,7.584951456,0,29.5
Clay,KY,5.024873122,0,46.3
Clay,WV,11.75364363,0,27.5
Clayton,GA,0.684331545,0,1832.5
Clayton,IA,5.698330389,0,23.3
Clear Creek,CO,10.30927835,0,23
Clearfield,PA,1.261750047,0,71.3
Clearwater,MN,11.34044001,0,8.7
Cleburne,AR,4.013002127,0,46.9
Cleburne,AL,6.706908115,0,26.7
Clermont,OH,0.968860813,0,436.5
Cleveland,OK,0.352095319,0,474.7
Cleveland,AR,12.56913022,0,14.5
Cleveland,NC,1.020960315,0,211.3
Clinch,GA,15.11030523,0,8.5
Clinton,IL,2.662265055,0,79.7
Clinton,NY,1.242467541,0,79.1
Clinton,MI,1.256360324,0,133.1
Clinton,OH,2.382767823,0,102.9
Clinton,MO,4.905086575,0,49.5
Clinton,IN,3.086515016,0,82
Clinton,IA,2.153826272,0,70.7
Clinton,PA,2.588527645,0,44.2
Clinton,KY,9.786651008,0,52.1
Cloud,KS,11.38174368,0,13.3
Coahoma,MS,9.039956608,0,47.3
Coal,OK,18.19836215,0,11.5
Cobb,GA,0.131554541,0,2026.4
Cochise,AZ,0.794142406,0,21.3
Cochran,TX,35.05082369,0,4
Cocke,TN,2.77746917,0,82.1
Coconino,AZ,0.69698068,0,7.2
Codington,SD,3.570280981,0,39.5
Coffee,GA,2.310909805,0,73.7
Coffee,TN,1.769285209,0,123.1
Coffee,AL,5.731534905,0,73.6
Coffey,KS,12.22643355,0,13.7
Coke,TX,29.52465309,0,3.6
Colbert,AL,1.810249633,0,91.8
Cole,MO,1.303016483,0,193
Coleman,TX,12.2324159,0,7
Coles,IL,1.975464728,0,106
Colfax,NE,9.33794005,0,25.5
Colfax,NM,8.374507998,0,3.7
Colleton,SC,2.65413913,0,36.8
Collier,FL,0.779419177,0,160.9
Collin,TX,0.096643569,0,930
Collingsworth,TX,34.24657534,0,3.3
Colonial Heights city,VA,23.02820956,0,2315.3
Colorado,TX,9.305355232,0,21.7
Colquitt,GA,2.192982456,0,83.6
Columbia,WA,25.09410289,0,4.7
Columbia,GA,0.638105083,0,427.6
Columbia,WI,6.952652437,0,74.2
Columbia,NY,1.681774609,0,99.4
Columbia,FL,2.789945038,0,84.7
Columbia,PA,1.539314082,0,139.3
Columbia,AR,4.263119751,0,32.1
Columbia,OR,1.910073729,0,75.1
Columbiana,OH,0.981518016,0,202.7
Columbus,NC,1.80154212,0,62
Colusa,CA,4.641017311,0,18.6
Comal,TX,1.92050394,0,193.9
Comanche,OK,2.484492625,0,116.1
Comanche,TX,7.33406674,0,14.9
Comanche,KS,58.82352941,0,2.4
Concho,TX,36.68378577,0,4.2
Concordia,LA,15.57713277,0,29.9
Conecuh,AL,8.287063893,0,15.6
Conejos,CO,12.18769043,0,6.4
