county,state,county_state,lat,long,totalpop,total_votes20,votes20_donald_trump,votes20_joe_biden,percentage20_donald_trump,percentage20_joe_biden,cases,deaths,men,women,hispanic,white,black,native,asian,pacific,income,incomepercap,poverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010,age_oto4,age_5to14,age_15to24,age_25to34,age_35to44,age_45to54,age_55to64,age_65to74,age_75to84,age_84plus,evangelicals,protestant,catholic,orthodox,muslim,other
Clay,KS,"Clay, KS",39.34948772,-97.16518128,8203,4134,3129,883,0.757,0.214,114,3,4051,4152,2.4,94.5,0.7,0.6,0.6,0,55434,28115,9.4,32.8,15.1,24.5,15.7,12,80.7,9.7,0.1,2.3,0.8,6.4,19.7,4107,71,20.3,8.5,0.3,3.3,12.49687578,0,13.2,520,1070,824,827,936,862,1120,963,555,320,0,0,0,0,0,0
Clay,IN,"Clay, IN",39.39561833,-87.11723506,26375,12277,9498,2549,0.774,0.208,554,10,12903,13472,1.3,96.4,0.4,0.1,0.3,0,50924,24339,13.9,29.3,18.8,20.6,9.4,21.8,82.6,12.3,0,1.8,1,2.2,26.2,12252,79.1,15.5,5.4,0,4.9,3.813155386,0,75.2,1624,3325,3022,3188,3151,3358,3827,2691,1414,570,0,0,0,0,0,0
Clay,SD,"Clay, SD",42.91296147,-96.97656917,13907,5698,2456,3083,0.431,0.541,877,8,6955,6952,2.7,88.2,1.5,2.9,2.5,0,41773,24541,24.7,40.8,21.2,22.2,7.1,8.7,69.4,7.6,0.6,13.2,3,6.2,15,7624,64.7,29.6,5.5,0.2,6.4,14.21464108,0,33.6,742,1327,4856,1748,1229,1154,1268,1011,486,220,0,0,0,0,0,0
Clay,GA,"Clay, GA",31.62221166,-84.97713865,3024,1434,637,790,0.444,0.551,124,3,1495,1529,4.7,30.3,64.3,0,0,0,23315,14559,41.4,18.4,18.7,20.2,26.6,16.1,66.3,29.3,0.6,0,0,3.9,29.6,865,74.7,19.1,6.2,0,20.3,35.2858151,0,16.3,149,334,276,307,311,295,441,463,229,82,0,0,0,0,0,0
Clay,IA,"Clay, IA",43.08247182,-95.15096481,16387,8948,6137,2662,0.686,0.297,595,4,8091,8296,3.3,94,0.2,0,0.5,0,48978,28514,11.8,33.2,13.8,24.4,11.9,16.6,77.4,11.9,0.3,2.1,1.7,6.6,16.3,8247,80.6,10.3,8.8,0.2,3.4,6.243756244,0,29.4,983,2071,1737,1859,1925,1810,2405,1704,1021,619,0,0,0,0,0,0
Clay,NC,"Clay, NC",35.05704275,-83.74353633,10753,6828,5074,1685,0.743,0.247,241,3,5117,5636,3.3,95,1.6,0.1,0,0,37070,25433,17.5,34.5,23.1,20.3,13,9.1,84.2,7.1,0,2,2.3,4.4,21.3,4275,75,14.6,10,0.3,7.1,8.903926632,0,49.3,481,1065,1009,928,1055,1315,1822,2097,1052,315,0,0,0,0,0,0
Clay,TN,"Clay, TN",36.55151008,-85.53930419,7684,3506,2733,735,0.78,0.21,426,16,3777,3907,1.6,94.8,2.1,0.7,0.5,0,30801,17667,26.6,27.6,21.2,15.6,13.7,21.9,88.8,6.5,0.1,1.1,0.5,3,27.9,2568,74,17.5,8.1,0.4,5.3,13.13197636,0,33.2,370,931,735,775,783,1101,1145,1035,652,190,0,0,0,0,0,0
Clay,TX,"Clay, TX",33.78686685,-98.20771198,10369,5736,5064,614,0.883,0.107,133,3,5184,5185,5.7,90.4,0.5,1.2,0.3,0,46863,27593,15,30.6,16.5,24.4,14.7,13.9,84.5,7.5,0,2.5,1,4.5,23.9,4373,74.4,14.5,10.9,0.3,7.2,9.550186229,0,9.9,485,1208,1112,977,1185,1321,1793,1369,728,278,0,0,0,0,0,0
Clay,AR,"Clay, AR",36.36826212,-90.4148172,15190,5178,4084,959,0.789,0.185,517,13,7421,7769,1.9,95.8,0.7,0.5,0,0,32219,19171,22.3,22.3,18.3,24,12.1,23.3,84.9,9.6,0,3.1,0.5,1.9,23.3,6234,80.6,11.5,7.9,0,5.3,6.872379905,0,25.2,924,1759,1664,1690,1652,1913,2066,1736,1082,361,0,0,0,0,0,0
Clay,NE,"Clay, NE",40.52439441,-98.05126296,6264,3558,2848,632,0.8,0.178,195,1,3210,3054,8.9,89.2,0.4,0.2,0.3,0,54167,27275,11.1,28.7,14.9,19.4,17.9,19.1,82.1,10.1,0,3.7,1.4,2.7,20.9,3112,78.4,12.5,8.8,0.3,3,16.12123166,0,11.4,440,827,708,694,636,688,959,708,351,203,0,0,0,0,0,0
